ture,toa,pred,aod,class,inf
0.3340775,0.29986,0.36343327,-0.0030921288,9.0,0.3340775
0.310235,0.28106,0.3448534,0.15117584,12.0,0.310235
0.1665475,0.15426,0.18704796,-0.038732886,12.0,0.1665475
0.3467275,0.31174,0.3830258,-0.0061593573,9.0,0.3467275
0.21415,0.19634,0.23641947,0.061577104,12.0,0.21415
0.1989975,0.18508,0.22297099,0.04893743,12.0,0.1989975
0.30545,0.27618,0.3362348,0.19320177,10.0,0.30545
0.2693975,0.24504,0.30215362,-0.006828293,12.0,0.2693975
0.24165,0.21984,0.26417494,-0.014904391,10.0,0.24165
0.12142,0.1158,0.1360649,0.003662421,10.0,0.12142
0.190775,0.17448,0.20959729,0.039776716,10.0,0.190775
0.1888225,0.17298,0.20572862,-0.058712624,10.0,0.1888225
0.18852,0.17304,0.20736356,0.046943847,12.0,0.18852
0.2521275,0.2289,0.2757212,0.031715423,10.0,0.2521275
0.3115,0.28068,0.34229612,0.06444209,10.0,0.3115
0.2689575,0.24276,0.29172224,0.044909157,10.0,0.2689575
0.2637325,0.24006,0.29592046,-0.030289447,12.0,0.2637325
0.28983,0.26214,0.3197798,-0.019097285,10.0,0.28983
0.2972,0.26804,0.32733303,-0.010419403,9.0,0.2972
0.2518525,0.22928,0.2743943,-0.014511854,12.0,0.2518525
0.3060275,0.27554,0.3362348,0.026201956,10.0,0.3060275
0.30226,0.27436,0.33490682,-0.024064897,12.0,0.30226
0.2836975,0.25656,0.31773844,0.18002768,10.0,0.2836975
0.218495,0.2009,0.24346104,-0.011647674,12.0,0.218495
0.2723125,0.24712,0.30463108,0.12689151,12.0,0.2723125
0.1663825,0.1551,0.18524204,-0.016346617,10.0,0.1663825
0.1762825,0.16256,0.1988909,0.039776716,12.0,0.1762825
0.4235625,0.38168,0.45922604,0.034219265,10.0,0.4235625
0.1830475,0.1684,0.20150253,-0.008954057,10.0,0.1830475
0.3430975,0.30906,0.37896746,-0.0061593573,12.0,0.3430975
0.2800125,0.25366,0.31485474,0.15833358,10.0,0.2800125
0.15145,0.1406,0.16744575,-0.054549772,12.0,0.15145
0.2297425,0.20914,0.25046718,-0.060659427,10.0,0.2297425
0.3693875,0.3339,0.40791768,-0.013215243,12.0,0.3693875
0.38256,0.34272,0.41269365,-0.0061593573,9.0,0.38256
0.14078,0.1321,0.15855193,0.100748986,10.0,0.14078
0.25144,0.23064,0.2789684,0.070526116,12.0,0.25144
0.321895,0.2926,0.359039,0.1007043,12.0,0.321895
0.31447,0.28442,0.34663144,0.12048953,12.0,0.31447
0.2349675,0.21404,0.2586465,-0.024111386,10.0,0.2349675
0.1628625,0.15124,0.1794522,0.04484699,12.0,0.1628625
0.2820475,0.25618,0.3117553,0.026201956,12.0,0.2820475
0.3350125,0.30168,0.36343327,-0.058414392,10.0,0.3350125
